user_id,archetype,t_human,t_computed,tce,final_tier
syn_coop_000,COOPERATIVE_STABLE,0.8091,1.0,0.1909,HIGH
syn_coop_001,COOPERATIVE_STABLE,0.8419,1.0,0.1581,HIGH
syn_coop_002,COOPERATIVE_STABLE,0.9128,1.0,0.0872,HIGH
syn_coop_003,COOPERATIVE_STABLE,0.8365,1.0,0.1635,HIGH
syn_coop_000,COOPERATIVE_GROWING,0.5934,1.0,0.4066,HIGH
syn_coop_001,COOPERATIVE_GROWING,0.7003,1.0,0.2997,HIGH
syn_coop_002,COOPERATIVE_GROWING,0.6898,1.0,0.3102,HIGH
syn_coop_003,COOPERATIVE_GROWING,0.7264,1.0,0.2736,HIGH
syn_adve_000,ADVERSARIAL,0.173,1.0,0.827,HIGH
syn_adve_001,ADVERSARIAL,0.1053,1.0,0.8947,HIGH
syn_adve_002,ADVERSARIAL,0.113,1.0,0.887,HIGH
syn_adve_003,ADVERSARIAL,0.1612,1.0,0.8388,HIGH
syn_inco_000,INCONSISTENT,0.4601,1.0,0.5399,HIGH
syn_inco_001,INCONSISTENT,0.4197,1.0,0.5803,HIGH
syn_inco_002,INCONSISTENT,0.4457,1.0,0.5543,HIGH
syn_inco_003,INCONSISTENT,0.4288,1.0,0.5712,HIGH
syn_new__000,NEW_THEN_DROPS,0.2974,1.0,0.7026,HIGH
syn_new__001,NEW_THEN_DROPS,0.335,1.0,0.665,HIGH
syn_new__002,NEW_THEN_DROPS,0.287,1.0,0.713,HIGH
syn_new__003,NEW_THEN_DROPS,0.3395,1.0,0.6605,HIGH
